id,case_number,date,block,iucr_code,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10510201,HZ251743,5/3/2016,089XX S COTTAGE GROVE AVE,460,STREET,FALSE,FALSE,633,6,6,44,08B,1183121,1846055,2016,5/10/2016,41.73277179,-87.60472899,"(41.732771785, -87.604728989)"
10510028,HZ251387,5/3/2016,034XX S EMERALD AVE,820,STREET,FALSE,FALSE,915,9,11,60,6,1171863,1882071,2016,5/10/2016,41.83185793,-87.64491566,"(41.831857932, -87.64491566)"
10510044,HZ251374,5/3/2016,047XX S ASHLAND AVE,1110,BANK,FALSE,FALSE,931,9,20,61,11,1166467,1873388,2016,5/10/2016,41.8081478,-87.66496197,"(41.808147803, -87.664961971)"
10510086,HZ251423,5/3/2016,087XX S BURLEY AVE,1320,VEHICLE NON-COMMERCIAL,FALSE,FALSE,424,4,7,46,14,1199184,1847735,2016,5/10/2016,41.73699363,-87.54582776,"(41.736993626, -87.545827764)"
10510107,HZ251653,5/3/2016,063XX N HERMITAGE AVE,820,RESIDENCE,FALSE,FALSE,2433,24,40,77,6,1163624,1941880,2016,5/10/2016,41.99615508,-87.67345707,"(41.996155077, -87.673457065)"
10509487,HZ251039,5/4/2016,014XX W 95TH ST,1310,RESTAURANT,FALSE,FALSE,2213,22,21,73,14,1168076,1841733,2016,5/11/2016,41.72124785,-87.65996945,"(41.721247847, -87.659969446)"
10510115,HZ251663,5/3/2016,054XX N SAWYER AVE,1154,APARTMENT,FALSE,FALSE,1712,17,40,13,11,1153730,1936013,2016,5/10/2016,41.98025918,-87.71000978,"(41.980259177, -87.710009782)"
10510146,HZ251547,5/3/2016,003XX N PINE AVE,486,APARTMENT,FALSE,FALSE,1523,15,28,25,08B,1139441,1901703,2016,5/10/2016,41.88638227,-87.76339888,"(41.886382272, -87.763398884)"
10510187,HZ251739,5/3/2016,051XX W NORTH AVE,1330,SMALL RETAIL STORE,TRUE,FALSE,2533,25,37,25,26,1141622,1910145,2016,5/10/2016,41.90950808,-87.7551807,"(41.909508082, -87.755180702)"
10510207,HZ251665,5/3/2016,009XX N RUSH ST,890,OTHER,FALSE,FALSE,1833,18,42,8,6,1176466,1907032,2016,5/10/2016,41.90025005,-87.62727361,"(41.900250049, -87.627273613)"
10510216,HZ251678,5/3/2016,022XX S SAWYER AVE,031A,SIDEWALK,FALSE,FALSE,1024,10,24,30,3,1155039,1889026,2016,5/10/2016,41.85129667,-87.7064588,"(41.851296671, -87.706458801)"
10510229,HZ251692,5/3/2016,009XX W 19TH ST,910,STREET,FALSE,FALSE,1235,12,25,31,7,1170718,1891113,2016,5/10/2016,41.85669507,-87.64885236,"(41.856695068, -87.648852364)"
10510426,HZ250729,5/3/2016,034XX N HALSTED ST,880,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,6,1170308,1923273,2016,5/10/2016,41.94495301,-87.64941621,"(41.944953005, -87.649416212)"
10510600,HZ250893,5/3/2016,079XX S PRAIRIE AVE,1320,STREET,FALSE,FALSE,623,6,6,44,14,1179410,1852394,2016,5/10/2016,41.75025215,-87.61813096,"(41.750252151, -87.61813096)"
10510660,HZ252031,5/3/2016,028XX N CLARK ST,890,ATHLETIC CLUB,FALSE,FALSE,1934,19,44,6,6,1171402,1919138,2016,5/10/2016,41.93358238,-87.64551708,"(41.933582379, -87.645517082)"
10510662,HZ252034,5/3/2016,020XX W SCHILLER ST,820,STREET,FALSE,FALSE,1424,14,1,24,6,1162452,1909424,2016,5/10/2016,41.90711883,-87.67868029,"(41.907118834, -87.678680286)"
